label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.03 e=0.02 p=0.65 mo=None,SIMPLE,0.03,0.02,0.65,,746,67.3,-0.45,180.2,-9.9,56.9,4,1.49,-0.174,-1.284
S s=0.03 e=0.03 p=0.5 mo=2.0,SIMPLE,0.03,0.03,0.5,2.0,724,66.7,4.14,410.2,105.1,23.9,6,1.58,4.408,20.764
S s=0.03 e=0.03 p=0.5 mo=3.0,SIMPLE,0.03,0.03,0.5,3.0,749,66.4,4.37,443.1,121.5,23.4,4,1.6,5.185,22.149
S s=0.03 e=0.03 p=0.5 mo=None,SIMPLE,0.03,0.03,0.5,,749,66.4,4.37,443.1,121.5,23.4,4,1.6,5.185,22.149
S s=0.03 e=0.03 p=0.55 mo=2.0,SIMPLE,0.03,0.03,0.55,2.0,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.55 mo=3.0,SIMPLE,0.03,0.03,0.55,3.0,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.55 mo=None,SIMPLE,0.03,0.03,0.55,,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.6 mo=2.0,SIMPLE,0.03,0.03,0.6,2.0,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.6 mo=3.0,SIMPLE,0.03,0.03,0.6,3.0,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.6 mo=None,SIMPLE,0.03,0.03,0.6,,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.65 mo=2.0,SIMPLE,0.03,0.03,0.65,2.0,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.03 p=0.65 mo=3.0,SIMPLE,0.03,0.03,0.65,3.0,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.03 p=0.65 mo=None,SIMPLE,0.03,0.03,0.65,,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.05 p=0.5 mo=2.0,SIMPLE,0.03,0.05,0.5,2.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.5 mo=3.0,SIMPLE,0.03,0.05,0.5,3.0,218,63.8,-1.96,175.2,-12.4,30.6,4,1.56,-0.294,-7.326
S s=0.03 e=0.05 p=0.5 mo=None,SIMPLE,0.03,0.05,0.5,,218,63.8,-1.96,175.2,-12.4,30.6,4,1.56,-0.294,-7.326
S s=0.03 e=0.05 p=0.55 mo=2.0,SIMPLE,0.03,0.05,0.55,2.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.55 mo=3.0,SIMPLE,0.03,0.05,0.55,3.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.55 mo=None,SIMPLE,0.03,0.05,0.55,,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.6 mo=2.0,SIMPLE,0.03,0.05,0.6,2.0,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.6 mo=3.0,SIMPLE,0.03,0.05,0.6,3.0,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.6 mo=None,SIMPLE,0.03,0.05,0.6,,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.65 mo=2.0,SIMPLE,0.03,0.05,0.65,2.0,193,64.2,-3.07,165.0,-17.5,36.1,4,1.52,-0.312,-10.331
S s=0.03 e=0.05 p=0.65 mo=3.0,SIMPLE,0.03,0.05,0.65,3.0,193,64.2,-3.07,165.0,-17.5,36.1,4,1.52,-0.312,-10.331
S s=0.03 e=0.05 p=0.65 mo=None,SIMPLE,0.03,0.05,0.65,,193,64.2,-3.07,165.0,-17.5,36.1,4,1.52,-0.312,-10.331
S s=0.05 e=0.02 p=0.5 mo=2.0,SIMPLE,0.05,0.02,0.5,2.0,1211,63.3,-0.65,121.0,-39.5,97.1,5,1.6,-0.407,-0.132
S s=0.05 e=0.02 p=0.5 mo=3.0,SIMPLE,0.05,0.02,0.5,3.0,1257,62.8,-0.37,150.1,-25.0,99.7,5,1.62,-0.25,-0.009
S s=0.05 e=0.02 p=0.5 mo=None,SIMPLE,0.05,0.02,0.5,,1257,62.8,-0.37,150.1,-25.0,99.7,5,1.62,-0.25,-0.009
S s=0.05 e=0.02 p=0.55 mo=2.0,SIMPLE,0.05,0.02,0.55,2.0,1152,64.4,-0.1,187.5,-6.2,75.9,4,1.58,-0.082,-0.17
S s=0.05 e=0.02 p=0.55 mo=3.0,SIMPLE,0.05,0.02,0.55,3.0,1152,64.4,-0.1,187.5,-6.2,75.9,4,1.58,-0.082,-0.17
S s=0.05 e=0.02 p=0.55 mo=None,SIMPLE,0.05,0.02,0.55,,1152,64.4,-0.1,187.5,-6.2,75.9,4,1.58,-0.082,-0.17
S s=0.05 e=0.02 p=0.6 mo=2.0,SIMPLE,0.05,0.02,0.6,2.0,974,65.7,-0.36,162.7,-18.7,82.5,5,1.53,-0.226,-0.435
S s=0.05 e=0.02 p=0.6 mo=3.0,SIMPLE,0.05,0.02,0.6,3.0,974,65.7,-0.36,162.7,-18.7,82.5,5,1.53,-0.226,-0.435
S s=0.05 e=0.02 p=0.6 mo=None,SIMPLE,0.05,0.02,0.6,,974,65.7,-0.36,162.7,-18.7,82.5,5,1.53,-0.226,-0.435
S s=0.05 e=0.02 p=0.65 mo=2.0,SIMPLE,0.05,0.02,0.65,2.0,746,67.3,-0.6,157.1,-21.4,83.8,4,1.49,-0.256,-0.642
S s=0.05 e=0.02 p=0.65 mo=3.0,SIMPLE,0.05,0.02,0.65,3.0,746,67.3,-0.6,157.1,-21.4,83.8,4,1.49,-0.256,-0.642
S s=0.05 e=0.02 p=0.65 mo=None,SIMPLE,0.05,0.02,0.65,,746,67.3,-0.6,157.1,-21.4,83.8,4,1.49,-0.256,-0.642
S s=0.05 e=0.03 p=0.5 mo=2.0,SIMPLE,0.05,0.03,0.5,2.0,724,66.7,3.56,523.5,161.8,38.9,6,1.58,4.154,14.317
S s=0.05 e=0.03 p=0.5 mo=3.0,SIMPLE,0.05,0.03,0.5,3.0,749,66.4,3.72,583.1,191.6,37.7,4,1.6,5.087,15.352
S s=0.05 e=0.03 p=0.5 mo=None,SIMPLE,0.05,0.03,0.5,,749,66.4,3.72,583.1,191.6,37.7,4,1.6,5.087,15.352
S s=0.05 e=0.03 p=0.55 mo=2.0,SIMPLE,0.05,0.03,0.55,2.0,706,67.3,4.05,568.6,184.3,33.1,5,1.57,5.561,17.766
S s=0.05 e=0.03 p=0.55 mo=3.0,SIMPLE,0.05,0.03,0.55,3.0,706,67.3,4.05,568.6,184.3,33.1,5,1.57,5.561,17.766
S s=0.05 e=0.03 p=0.55 mo=None,SIMPLE,0.05,0.03,0.55,,706,67.3,4.05,568.6,184.3,33.1,5,1.57,5.561,17.766
S s=0.05 e=0.03 p=0.6 mo=2.0,SIMPLE,0.05,0.03,0.6,2.0,624,68.8,4.01,526.9,163.4,38.0,4,1.53,4.297,15.998
S s=0.05 e=0.03 p=0.6 mo=3.0,SIMPLE,0.05,0.03,0.6,3.0,624,68.8,4.01,526.9,163.4,38.0,4,1.53,4.297,15.998
S s=0.05 e=0.03 p=0.6 mo=None,SIMPLE,0.05,0.03,0.6,,624,68.8,4.01,526.9,163.4,38.0,4,1.53,4.297,15.998
S s=0.05 e=0.03 p=0.65 mo=2.0,SIMPLE,0.05,0.03,0.65,2.0,517,68.1,0.89,244.5,22.3,43.9,4,1.5,0.508,3.122
S s=0.05 e=0.03 p=0.65 mo=3.0,SIMPLE,0.05,0.03,0.65,3.0,517,68.1,0.89,244.5,22.3,43.9,4,1.5,0.508,3.122
S s=0.05 e=0.03 p=0.65 mo=None,SIMPLE,0.05,0.03,0.65,,517,68.1,0.89,244.5,22.3,43.9,4,1.5,0.508,3.122
S s=0.05 e=0.05 p=0.5 mo=2.0,SIMPLE,0.05,0.05,0.5,2.0,216,63.9,-2.4,151.0,-24.5,47.1,4,1.55,-0.374,-6.824
S s=0.05 e=0.05 p=0.5 mo=3.0,SIMPLE,0.05,0.05,0.5,3.0,218,63.8,-2.37,151.4,-24.3,46.8,4,1.56,-0.377,-6.79
S s=0.05 e=0.05 p=0.5 mo=None,SIMPLE,0.05,0.05,0.5,,218,63.8,-2.37,151.4,-24.3,46.8,4,1.56,-0.377,-6.79
S s=0.05 e=0.05 p=0.55 mo=2.0,SIMPLE,0.05,0.05,0.55,2.0,216,63.9,-2.4,151.0,-24.5,47.1,4,1.55,-0.374,-6.824
S s=0.05 e=0.05 p=0.55 mo=3.0,SIMPLE,0.05,0.05,0.55,3.0,216,63.9,-2.4,151.0,-24.5,47.1,4,1.55,-0.374,-6.824
S s=0.05 e=0.05 p=0.55 mo=None,SIMPLE,0.05,0.05,0.55,,216,63.9,-2.4,151.0,-24.5,47.1,4,1.55,-0.374,-6.824
S s=0.05 e=0.05 p=0.6 mo=2.0,SIMPLE,0.05,0.05,0.6,2.0,207,65.2,-1.02,178.1,-10.9,46.5,4,1.54,-0.162,-2.914
S s=0.05 e=0.05 p=0.6 mo=3.0,SIMPLE,0.05,0.05,0.6,3.0,207,65.2,-1.02,178.1,-10.9,46.5,4,1.54,-0.162,-2.914
S s=0.05 e=0.05 p=0.6 mo=None,SIMPLE,0.05,0.05,0.6,,207,65.2,-1.02,178.1,-10.9,46.5,4,1.54,-0.162,-2.914
S s=0.05 e=0.05 p=0.65 mo=2.0,SIMPLE,0.05,0.05,0.65,2.0,193,64.2,-3.36,137.5,-31.2,56.2,4,1.52,-0.357,-7.746
S s=0.05 e=0.05 p=0.65 mo=3.0,SIMPLE,0.05,0.05,0.65,3.0,193,64.2,-3.36,137.5,-31.2,56.2,4,1.52,-0.357,-7.746
S s=0.05 e=0.05 p=0.65 mo=None,SIMPLE,0.05,0.05,0.65,,193,64.2,-3.36,137.5,-31.2,56.2,4,1.52,-0.357,-7.746
C s=0.01 l=2 tn=1 cmo=3.0,COMBO,0.01,0.02,0.55,1.8,232,44.4,4.49,221.3,10.7,12.8,8,2.39,0.642,21.33
C s=0.01 l=2 tn=1 cmo=5.0,COMBO,0.01,0.02,0.55,1.8,234,45.3,8.31,240.4,20.2,10.3,8,2.4,1.525,40.678
C s=0.01 l=2 tn=2 cmo=3.0,COMBO,0.01,0.02,0.55,1.8,382,43.2,2.68,221.1,10.6,23.9,10,2.39,0.442,12.132
C s=0.01 l=2 tn=2 cmo=5.0,COMBO,0.01,0.02,0.55,1.8,384,44.0,6.48,252.9,26.4,18.4,10,2.41,1.441,31.494
C s=0.01 l=3 tn=1 cmo=3.0,COMBO,0.01,0.02,0.55,1.8,232,41.4,-1.08,194.9,-2.5,17.2,6,2.47,-0.113,-4.876
C s=0.01 l=3 tn=1 cmo=5.0,COMBO,0.01,0.02,0.55,1.8,234,34.6,7.73,237.6,18.8,17.6,15,3.22,0.836,34.796
C s=0.01 l=3 tn=2 cmo=3.0,COMBO,0.01,0.02,0.55,1.8,382,41.1,-0.61,195.3,-2.3,29.2,10,2.46,-0.08,-2.567
C s=0.01 l=3 tn=2 cmo=5.0,COMBO,0.01,0.02,0.55,1.8,384,34.4,8.3,270.7,35.4,22.6,14,3.23,1.561,38.22
C s=0.02 l=2 tn=1 cmo=3.0,COMBO,0.02,0.02,0.55,1.8,232,44.4,4.51,243.8,21.9,23.5,8,2.39,0.722,18.817
C s=0.02 l=2 tn=1 cmo=5.0,COMBO,0.02,0.02,0.55,1.8,234,45.3,8.73,288.3,44.1,18.2,8,2.4,1.889,38.978
C s=0.02 l=2 tn=2 cmo=3.0,COMBO,0.02,0.02,0.55,1.8,382,43.2,3.07,249.8,24.9,44.2,10,2.39,0.563,10.188
C s=0.02 l=2 tn=2 cmo=5.0,COMBO,0.02,0.02,0.55,1.8,384,44.0,7.45,329.9,65.0,34.3,10,2.41,1.895,29.148
C s=0.02 l=3 tn=1 cmo=3.0,COMBO,0.02,0.02,0.55,1.8,232,41.4,-1.14,189.3,-5.4,31.0,6,2.47,-0.134,-4.285
C s=0.02 l=3 tn=1 cmo=5.0,COMBO,0.02,0.02,0.55,1.8,234,34.6,9.24,293.9,47.0,33.7,15,3.22,1.088,33.461
C s=0.02 l=3 tn=2 cmo=3.0,COMBO,0.02,0.02,0.55,1.8,382,41.1,-0.4,193.8,-3.1,53.2,10,2.46,-0.058,-1.113
C s=0.02 l=3 tn=2 cmo=5.0,COMBO,0.02,0.02,0.55,1.8,384,34.4,9.18,375.1,87.6,41.1,14,3.23,2.132,32.2
C s=0.03 l=2 tn=1 cmo=3.0,COMBO,0.03,0.02,0.55,1.8,232,44.4,4.54,267.5,33.7,34.4,8,2.39,0.759,16.247
C s=0.03 l=2 tn=1 cmo=5.0,COMBO,0.03,0.02,0.55,1.8,234,45.3,9.18,345.0,72.5,27.0,8,2.4,2.093,36.577
C s=0.03 l=2 tn=2 cmo=3.0,COMBO,0.03,0.02,0.55,1.8,382,43.2,3.43,286.0,43.0,61.4,10,2.39,0.7,7.873
C s=0.03 l=2 tn=2 cmo=5.0,COMBO,0.03,0.02,0.55,1.8,384,44.0,8.43,436.8,118.4,48.1,10,2.41,2.458,26.021
C s=0.03 l=3 tn=1 cmo=3.0,COMBO,0.03,0.02,0.55,1.8,232,41.4,-1.25,182.4,-8.8,42.4,6,2.47,-0.161,-3.924
C s=0.03 l=3 tn=1 cmo=5.0,COMBO,0.03,0.02,0.55,1.8,234,34.6,10.77,371.9,86.0,48.2,15,3.22,1.39,30.441
C s=0.03 l=3 tn=2 cmo=3.0,COMBO,0.03,0.02,0.55,1.8,382,41.1,-0.22,194.8,-2.6,72.8,10,2.46,-0.035,-0.356
C s=0.03 l=3 tn=2 cmo=5.0,COMBO,0.03,0.02,0.55,1.8,384,34.4,9.88,518.9,159.5,55.9,14,3.23,2.851,25.915
